,0
452,tensor(0.5940)
453,tensor(0.6036)
454,tensor(0.5882)
455,tensor(0.5012)
456,tensor(0.5541)
457,tensor(0.4978)
458,tensor(0.5304)
459,tensor(0.7259)
460,tensor(0.5193)
461,tensor(0.6382)
462,tensor(0.4945)
463,tensor(0.5250)
464,tensor(0.8598)
465,tensor(0.5458)
466,tensor(0.7531)
467,tensor(0.5950)
468,tensor(0.5196)
469,tensor(0.7370)
470,tensor(0.5215)
471,tensor(0.5595)
472,tensor(0.7200)
473,tensor(0.5645)
